"order_num","detail_no","description","quantity","unit_price","amount"
"140338","2","麗德醫療口罩  5 入  ( 成人) - 粉紅","1","40","25"
"140338","3","麗德醫療口罩  5 入  ( 成人) - 綠","1","40","24"
"140338","4","NUCARE  可倍力營養飲(黑芝麻風味) 200ml","1","63","63"
"140341","1","付款折扣","0","0","-15"
"140341","2","美三菌 益生菌(30入)","2","750","1500"
"140341","3","愛司盟-輕盈窈窕代謝草本膠囊","1","980","880"
"140341","4","愛司盟-輕盈窈窕代謝草本膠囊","1","0","0"
"140342","1","※勝補納Suplena 237ml-香草口味(未洗腎適用)","1","121","121"
"140343","1","付款折扣","0","0","-53"
"140343","2","愛司盟-輕盈窈窕代謝草本膠囊","1","980","880"
"140343","3","愛司盟-輕盈窈窕代謝草本膠囊","1","0","0"
"140346","1","付款折扣","0","0","-300"
"140346","2","HAC-綜合B群+鐵錠2入組","1","1280","1280"
"140346","3","優護潔膚柔濕巾 50 抽 ( 20 * 30 cm )","1","0","0"
"140347","1","杏輝金碘30ml(OTC.)","1","36","36"
"140350","1","付款折扣","0","0","-80"
"140350","2","輪椅-飛揚215-18吋座寬20吋後輪","1","7180","7180"
"140350","3","御護xHAC-德萊比B群+肝精複方錠(30錠/罐)","1","0","0"
"140353","1","付款折扣","0","0","-200"
"140353","2","優寶滴 D3","1","1944","1944"
"140354","1","付款折扣","0","0","-20"
"140354","2","Happy Hours生機纖果飲(西洋梨)_90g","1","71","59"
"140357","1","補體素倍力腫瘤適用即飲配方食品(燕麥風味)","3","164","492"
"140357","2","樂護純棉免洗褲  4 入  - 女L","2","98","196"
"140358","1","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","1","2200","2200"
"140359","1","付款折扣","0","0","-200"
"140359","2","補體素-鉻100 不甜 (糖尿病適用)","26","69.2307","1800"
"140362","1","滅菌棉棒(普通)(10入)(鈺弘)","30","4","120"
"140362","10","(杏)儲值卡專區活動","1","100","57"
"140362","2","亞培安素均衡營養升級配方(香草減甜口味","2","80","91"
"140362","3","樂護加大超厚純水柔濕巾80 抽","6","91.5","549"
"140362","4","指頭繃       吸收墊尺寸2.5*1.7cm","1","50","50"
"140362","5","亞培安素均衡營養升級配方(香草減甜口味","1","80","80"
"140362","6","益力壯多元營養配方(給力)香草口味250ml/罐","1","65","65"
"140362","7","益力壯美力膠原蛋白高鈣配方 紅豆低糖)237 ml 罐","1","68","68"
"140362","8","桂格完膳營養素3重優蛋白","1","70","70"
"140362","9","亞培原味安素均衡營養升級配方","1","80","80"
"140365","1","補體素-優蛋白 無糖不甜 (增強體力配方)","1","72","72"
"140365","2","補體素優蛋白(大麥風味) 即飲配方食品","1","72","72"
"140365","3","益力壯給力優蛋白高鈣配方(原味無糖)250ML","1","65","65"
"140365","4","桂格完膳營養素3重優蛋白","1","70","70"
"140365","5","補體素-優纖A+ 不甜 (均衡營養配方)","1","67","67"
"140365","6","桂格完膳營養素雙蛋白配方(原味無糖)","1","78","78"
"140366","1","渡邊電解質維他命發泡顆粒 8g*20包/盒","1","396","396"
"140368","1","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","1","2200","2200"
"140369","1","ABENA(雅保)PVC通用手套M","1","198","198"
"140369","2","優護潔膚柔濕巾 50 抽 ( 20 * 30 cm )","1","79","79"
"140369","3","亞培安素優能基均衡營養配方(香草口味-少甜)","1","830","830"
"140369","4","麗德醫療口罩  5 入  ( 成人) - 粉紅","1","36","25"
"140369","5","麗德醫療口罩  5 入  ( 成人) - 綠","1","36","24"
"140370","1","御護 益添C維他命發泡錠(C1000+D3+E+K)水蜜桃風味","1","199","175"
"140370","2","御護 益添C維他命發泡錠(C500+葉黃素+莓果酵素)鳳梨風味","1","199","174"
"140372","1","關立固貼心寵愛禮Q2","1","10500","10500"
"140376","1","付款折扣","0","0","-18"
"140376","2","補體素優蛋白EX(原味)即飲配方食品","1","89","89"
"140376","3","益妙兒糖漿 ( 100 ml )","1","540","540"
"140376","4","NUCARE  可倍力營養飲(草莓風味) 200ml","1","57","57"
"140379","1","付款折扣","0","0","-18"
"140379","2","※虎標萬金油/白 30g(乙成)(紅標)","1","168","168"
"140379","3","NUCARE  可倍力營養飲(咖啡風味) 200ml","1","57","57"
"140380","1","付款折扣","0","0","-54"
"140380","2","422356康威 愛康膚寶柔泡棉敷料 (滅菌) 19.8*14cm","1","315","315"
"140380","3","NUCARE  可倍力營養飲(草莓風味) 200ml","1","57","57"
"140380","4","NUCARE  可倍力營養飲(咖啡風味) 200ml","1","57","57"
"140380","5","NUCARE  可倍力營養飲(黑芝麻風味) 200ml","1","57","57"
"140381","1","※廣東苜藥粉3g(小)(OTC)","1","300","300"
"140387","1","付款折扣","0","0","-235"
"140387","2","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","2","2200","4400"
"140387","3","3M防水透氣敷料(10*12cm/4片入)","1","98","98"
"140388","1","付款折扣","0","0","-200"
"140388","2","※倍速癌症配方熱帶水果口味","24","208.3333","4650"
"140389","1","益力壯糖尿病配方(原味)750g/罐","2","790","1480"
"140389","2","※正記加味消痔丸180入(成藥)","1","516","516"
"140392","1","益富益力勝勝後18蛋白質管理配方","6","82","459"
"140394","1","速養遼280g體驗瓶","1","2990","2990"
"140394","2","自黏彈性繃帶(3M/膚色1'*5YD/","1","68","68"
"140394","3","麥迪森可清沖洗用食鹽水(15ML*8支/包)","3","89","267"
"140400","1","付款折扣","0","0","-200"
"140400","2","善存女性綜合維他命120錠(食品級)","1","863","863"
"140400","3","拭拭樂乾溼兩用紗布毛巾80抽","2","79","158"
"140400","4","善存3效順暢益生菌粉末顆粒 4包","1","79","79"
"140403","1","益富益力壯20營養均衡配方(原味液體)","56","57.1429","3200"
"140404","1","寶益兒 小兒滴劑 50ml","1","675","675"
"140405","1","護立康盒我去旅行-藍","1","152","152"
"140406","1","(紅標)輔理善瞬感2掃描式葡萄糖監測系統","2","2200","4400"
"140408","1","速養遼 15g*12包裝(盒)","1","1989","1989"
"140409","1","※完膳透析液配方(腎藏病專用)","26","97.92","2350"
"140409","2","Omnipor赫曼抗敏透氣紙膠(1吋)","1","72","72"
"140410","1","御護 左旋麩醯胺酸300g/罐","1","1900","1900"
"140410","2","(數位印花貼紙)御護2025集點活動","3","0","0"
"140413","1","(OTC)克菌寧殺菌水溶液2% 200ml(藍蓋)(紅標)","1","198","198"
"140413","2","立迅強力彈繃3吋(前端魔鬼氈)","1","41","41"
"140413","3","彈性繃帶(5cm*4.6m/白色/CSD)","1","27","27"
"140413","4","網狀繃帶#3 30cm手部139","1","23","23"
"140416","1","刻利淨檢查食-CT腸保組(促銷組合)","1","882","882"
"140416","2","※伊普鎮痛顆粒12入(OTC)","1","144","144"
"140417","1","付款折扣","0","0","-200"
"140417","2","※維維樂佳倍優元氣補體減甜配方(液)","27","57","1350"
"140421","1","寶乖亞D-Plus(10ml/瓶)","1","1620","1620"
"140422","1","付款折扣","0","0","-20"
"140422","2","惠幼A+幼小寶寶飲品(蘋果)430ML","1","63","63"
"140423","1","※勝補納Suplena 237ml-香草口味(未洗腎適用)","2","134","268"
"140435","1","亞培安素均衡營養升級配方(香草減甜口味) 8入禮盒","1","658","658"
"140437","1","樂護加大超厚純水柔濕巾80 抽","1","98","98"
"140437","2","※快凝寶晶澈配方","1","492","492"
"140438","1","付款折扣","0","0","-30"
"140438","2","新多維多 芒果麻糬","1","80","49"
"140438","3","樂護嬰幼兒柔濕巾  10  抽","1","20","20"
"140442","1","CLK 健生加強型舒鈣(120顆/瓶)","1","882","882"
"140443","1","營養補充食品 明倍適 咖啡口味","1","69","65"
"140443","2","營養補充食品 明倍適 玉米濃湯口味","1","69","65"
"140443","3","營養補充食品 明倍適 水果歐蕾口味","1","69","65"
"140443","4","營養補充食品 明倍適 穀香口味","1","69","69"
"140443","5","營養補充食品 明倍適 優格口味","1","69","69"
"140445","1","刻利淨檢查食-CT腸保組(促銷組合)","1","882","882"
"140450","1","Happy Hours生機纖果飲(蘋果)_90g","3","71","177"
"140450","2","'耐有美'塞那靈洗鼻器，大組","1","1215","1215"
