"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"fdf08041","36-40歲","女","台中市","獨立愛遊理財新手"
"c2b2ae13","56-60歲","女","桃園市","品味養生理財貴族"
"00864081","36-40歲","女","新北市","網購社媒手機迷"
"ff4261cd","51-55歲","男","新北市","愛搜愛比網購客"
"2d358883","36-40歲","女","嘉義縣","健康愛家定存控"
"d790cd34","46-50歲","男","新北市","運動科技潮人"
"e1265122","36-40歲","女","台中市","物質享樂衝購族"
"960c272f","36-40歲","男","新北市","運動科技潮人"
"1c2998ac","31-35歲","女","台中市","網購社媒手機迷"
"ed4fe893","31-35歲","女","台中市","網購社媒手機迷"
"436bb4e9","51-55歲","女","台北市","獨立愛遊理財新手"
"71cd6ef8","36-40歲","女","台中市","物質享樂衝購族"
"e166a3df","51-55歲","女","基隆市","愛搜愛比網購客"
"a006f1fd","36-40歲","女","新北市","網購社媒手機迷"
"489ac572","36-40歲","女","台中市","樂動廣告品牌控"
"68a7dd9e","46-50歲","男","新北市","運動科技潮人"
"11204532","41-45歲","男","新北市","健康愛家定存控"
"6c2e0b61","46-50歲","女","台北市","品味養生理財貴族"
"0728313d","41-45歲","女","新北市","獨立愛遊理財新手"
"79df2a2c","56-60歲","女","台北市","品味養生理財貴族"
"a22aa642","61-65歲","男","雲林縣","樂動廣告品牌控"
"63a64eec","31-35歲","女","新北市","獨立愛遊理財新手"
"6e5eecec","51-55歲","女","台南市","網購社媒手機迷"
"884494b9","46-50歲","男","台北市","愛搜愛比網購客"
"e40eedf8","56-60歲","女","苗栗縣","網購社媒手機迷"
"3d3c78c1","56-60歲","男","新北市","樂動廣告品牌控"
"b9dc6f6e","46-50歲","女","宜蘭縣","獨立愛遊理財新手"
"cde91720","51-55歲","女","新竹縣","傳統保健理財族"
"b5975293","61-65歲","女","台東縣","樂動廣告品牌控"
"1efd0028","46-50歲","男","新竹市","運動科技潮人"
"de709511","36-40歲","女","桃園市","健康愛家定存控"
"3d62bc69","36-40歲","女","新北市","運動科技潮人"
"a38b14d4","66以上","女","宜蘭縣","傳統保健理財族"
"6a1ae2f8","46-50歲","女","新北市","運動科技潮人"
"770e0435","46-50歲","女","彰化縣","健康愛家定存控"
"6f121e7b","41-45歲","女","新北市","運動科技潮人"
"788e8dcc","61-65歲","男","台北市","樂動廣告品牌控"
"9c14adec","31-35歲","男","嘉義市","運動科技潮人"
"e75ae1bb","31-35歲","女","高雄市","健康愛家定存控"
"dc327160","61-65歲","女","台北市","健康愛家定存控"
"808ba542","41-45歲","男","台南市","樂動廣告品牌控"
"10243c93","36-40歲","男","新竹市","運動科技潮人"
"2aab41f9","41-45歲","女","新北市","品味養生理財貴族"
"769a6d61","31-35歲","女","桃園市","物質享樂衝購族"
"7c5a6a56","31-35歲","女","台中市","物質享樂衝購族"
"c1d0721b","41-45歲","女","台中市","網購社媒手機迷"
"007cfd68","51-55歲","女","新北市","傳統保健理財族"
"3953925e","36-40歲","女","新竹縣","樂動廣告品牌控"
"147c2873","41-45歲","女","新北市","網購社媒手機迷"
"0df6811a","51-55歲","女","桃園市","健康愛家定存控"
"c533dfb0","41-45歲","女","新北市","網購社媒手機迷"
"4cb20900","26-30歲","女","桃園市","健康愛家定存控"
"e656237f","31-35歲","女","桃園市","獨立愛遊理財新手"
"fe914c3c","46-50歲","男","苗栗縣","物質享樂衝購族"
"0a620051","46-50歲","女","台南市","樂動廣告品牌控"
"228b5090","56-60歲","女","新北市","愛搜愛比網購客"
"009b8e18","51-55歲","男","桃園市","樂動廣告品牌控"
"ed1f179a","41-45歲","女","屏東縣","物質享樂衝購族"
"077cd0d5","36-40歲","女","新竹市","獨立愛遊理財新手"
"f105c402","26-30歲","女","台南市","網購社媒手機迷"
"82697ca7","46-50歲","女","新北市","健康愛家定存控"
"08f56155","46-50歲","女","新北市","愛搜愛比網購客"
"7b78ca29","61-65歲","女","台北市","品味養生理財貴族"
"27aed3d1","21-25歲","男","台中市","健康愛家定存控"
"a10fecce","41-45歲","女","台北市","物質享樂衝購族"
"180001cc","51-55歲","女","台北市","網購社媒手機迷"
"4aef6790","26-30歲","女","新北市","物質享樂衝購族"
"1cc6c26c","51-55歲","女","台中市","愛搜愛比網購客"
"90d8abd7","36-40歲","女","新北市","獨立愛遊理財新手"
"15c72154","46-50歲","女","台中市","網購社媒手機迷"
"cbb9e575","51-55歲","女","高雄市","健康愛家定存控"
"54613b27","41-45歲","女","桃園市","網購社媒手機迷"
"8073c08d","36-40歲","女","苗栗縣","物質享樂衝購族"
"03eb76e2","26-30歲","男","新北市","樂動廣告品牌控"
