"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"8642d760","41-45歲","女","新竹縣","健康愛家定存控"
"65d482d5","46-50歲","女","彰化縣","樂動廣告品牌控"
"264bfaac","41-45歲","女","台北市","獨立愛遊理財新手"
"7e17bb74","31-35歲","男","苗栗縣","樂動廣告品牌控"
"46ab0c67","41-45歲","女","苗栗縣","樂動廣告品牌控"
"a103393d","41-45歲","男","新北市","運動科技潮人"
"bd077bb1","31-35歲","女","基隆市","網購社媒手機迷"
"8080ce47","46-50歲","女","嘉義市","物質享樂衝購族"
"6433bd1c","51-55歲","女","花蓮縣","品味養生理財貴族"
"df10ba1b","51-55歲","女","新竹縣","獨立愛遊理財新手"
"00c76a4d","51-55歲","女","新北市","健康愛家定存控"
"c0c17f31","31-35歲","女","桃園市","物質享樂衝購族"
"5db10afb","51-55歲","女","苗栗縣","網購社媒手機迷"
"b7b50a2d","41-45歲","男","台南市","運動科技潮人"
"5114a4c4","31-35歲","女","高雄市","獨立愛遊理財新手"
"9ce141d3","51-55歲","女","雲林縣","獨立愛遊理財新手"
"959a8f31","31-35歲","女","新竹縣","健康愛家定存控"
"941103fc","36-40歲","女","新竹縣","樂動廣告品牌控"
"7984e4bc","21-25歲","女","新竹縣","物質享樂衝購族"
"0f085331","36-40歲","男","新北市","傳統保健理財族"
"75fb1419","51-55歲","女","台北市","運動科技潮人"
"96043109","36-40歲","女","台中市","品味養生理財貴族"
"7d1d3482","31-35歲","女","高雄市","物質享樂衝購族"
"f08c91e6","31-35歲","女","桃園市","網購社媒手機迷"
"30e9f2f8","36-40歲","女","台南市","健康愛家定存控"
"01536d7d","41-45歲","女","南投縣","健康愛家定存控"
"94039244","41-45歲","女","台南市","物質享樂衝購族"
"1721b1ea","36-40歲","女","桃園市","獨立愛遊理財新手"
"b3894b68","31-35歲","女","彰化縣","網購社媒手機迷"
"9fab3e76","51-55歲","女","彰化縣","網購社媒手機迷"
"81de4203","51-55歲","女","新北市","品味養生理財貴族"
"8e34ef18","41-45歲","女","台北市","品味養生理財貴族"
"e17d2876","51-55歲","女","新竹縣","傳統保健理財族"
"bb9883c6","31-35歲","女","高雄市","健康愛家定存控"
"b1be51ef","31-35歲","女","彰化縣","物質享樂衝購族"
"91a59dbe","46-50歲","女","台北市","樂動廣告品牌控"
"b66fd908","41-45歲","女","彰化縣","傳統保健理財族"
"ea577a71","36-40歲","女","新北市","健康愛家定存控"
"f508dcab","31-35歲","男","桃園市","樂動廣告品牌控"
"180974d7","26-30歲","女","新北市","物質享樂衝購族"
"5bd10985","41-45歲","女","桃園市","網購社媒手機迷"
"9548a7f6","36-40歲","女","台中市","網購社媒手機迷"
"e5fb6f1c","36-40歲","女","台北市","網購社媒手機迷"
"4e8af376","46-50歲","男","彰化縣","運動科技潮人"
"f0452b5b","41-45歲","女","苗栗縣","網購社媒手機迷"
"87d507c7","41-45歲","男","新竹縣","運動科技潮人"
"53df8f84","46-50歲","女","台北市","網購社媒手機迷"
"607232df","41-45歲","女","台南市","樂動廣告品牌控"
"13d2c7a9","41-45歲","女","台中市","網購社媒手機迷"
"eff14dd1","51-55歲","女","台北市","獨立愛遊理財新手"
"bab928ec","26-30歲","女","台中市","物質享樂衝購族"
"8cad4aa5","31-35歲","女","花蓮縣","傳統保健理財族"
"908a3a93","31-35歲","女","新北市","網購社媒手機迷"
"472d3895","31-35歲","女","高雄市","物質享樂衝購族"
"136ed912","46-50歲","女","苗栗縣","傳統保健理財族"
"7ec59d29","31-35歲","女","彰化縣","物質享樂衝購族"
"58804f59","31-35歲","女","台北市","獨立愛遊理財新手"
"7b196419","31-35歲","女","新北市","健康愛家定存控"
"9bd5bfb3","36-40歲","女","台中市","物質享樂衝購族"
"857d0603","46-50歲","男","花蓮縣","愛搜愛比網購客"
"755b0e86","36-40歲","女","新竹市","樂動廣告品牌控"
"eb28b7b6","36-40歲","女","新北市","傳統保健理財族"
"5cabdec7","26-30歲","女","台南市","物質享樂衝購族"
"d321ed06","56-60歲","男","台中市","樂動廣告品牌控"
"79303a30","36-40歲","女","台南市","樂動廣告品牌控"
"6d9226ce","31-35歲","女","新北市","健康愛家定存控"
