"order_num","detail_no","description","quantity","unit_price","amount"
"2438","9","其他支付媒體","1","0","0"
"2438","7","小叼饞貓用凍乾零食-鮮嫩雞肉小丁/20g","1","99","99"
"2426","3","其他支付媒體","1","0","0"
"2477","2","總折價","1","-137","-137"
"2594","1","H01-3逗貓棒+鈴噹","1","100","100"
"2577","2","總折價","1","-1010","-1010"
"2448","23","CIAO啾嚕肉泥-鰹魚肉塊14g*4入","1","100","100"
"2557","8","歐司特-特級餐包 鮪魚鮭魚70g","3","33","99"
"2408","2","瑪莎犬用餐盒-鴨肉風味100g/A012-1C","1","32","32"
"2591","1","包月/美容服務","1","2000","2000"
"2443","2","總折價","1","-174","-174"
"2529","3","奧力棒-嗑肉一番鮮食營養餐-田園雞鮭魚燉蔬食110g/2入","1","185","185"
"2583","2","維齊化毛-鰹+鮪+雞+牛80g","2","30","60"
"2426","2","總折價","1","0","0"
"2516","10","邦比貓用潔牙錠鰹魚120g/K036","1","289","289"
"2425","7","CIAO 啾嚕肉泥-綜合營養食 (雞肉)14g*4入","2","110","220"
"2576","5","其他支付媒體","1","0","0"
"2558","3","雞老大Q韌耐咬雞胸肉條(中/大型犬)140g±5%","2","189","378"
"2505","2","總折價","1","-222","-222"
"2581","3","優沛特-犬用大狗罐-地瓜+雞肉400g","1","44","44"
"2562","3","其他支付媒體","1","0","0"
"2557","1","銀貓罐頭(白身鮪魚+蟹肉)80g","2","25","50"
"2476","3","總折價","1","-251","-251"
"2603","1","Halo嘿囉幼犬雞肉配方3.5磅","1","1140","1140"
"2449","1","東寵銀卡","1","1001","1001"
"2511","1","CatFeet呼嚕最愛薄荷化毛潔牙餡餅 (嫩雞)","1","80","80"
"2581","32","猋狗罐頭(小牛肉)385g","1","50","50"
"2550","3","金貓罐(鮪魚+牛肉+雞肉)80g","12","25","300"
"2463","5","總折價","1","-37","-37"
"2538","2","總折價","1","-31","-31"
"2579","5","總折價","1","-246","-246"
"2502","4","森鮮VENISON全犬-雞肉配方450g","1","360","360"
"2516","4","xGOMO膠原吻仔魚鮮魚主食貓罐80g","2","69","138"
"2581","7","幸福II大貓罐 170G -牛肉+鮪魚-罐","1","25","25"
"2603","2","新萃PV/無穀-全齡犬 袋鼠肉餐+超級食物 1LB","1","370","370"
"2478","2","總折價","1","-184","-184"
"2429","2","總折價","1","-88","-88"
"292","5","其他支付媒體","1","0","0"
"292","1","燒肉工房-BQ703#51職人現撈鮮鮭棒150g","1","220","220"
"271","4","寵樂會100%原肉凍乾-純牛肉 β-葡聚醣 15g","1","153","153"
"370","2","總折價","1","-5","-5"
"306","2","總折價","1","-30","-30"
"271","5","總折價","1","-299","-299"
"271","2","凱莉廚房貓用營養凍乾-鮭魚40g","1","220","220"
"290","5","其他支付媒體","1","0","0"
