"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"7077e578","36-40歲","男","桃園市","運動科技潮人"
"0e3cf08b","51-55歲","女","新竹市","品味養生理財貴族"
"94d69f27","31-35歲","男","新竹市","健康愛家定存控"
"ba8031ba","31-35歲","女","台北市","物質享樂衝購族"
"d56771ce","56-60歲","男","新北市","傳統保健理財族"
"08190317","36-40歲","女","台南市","物質享樂衝購族"
"6a5fe31c","26-30歲","女","台南市","健康愛家定存控"
"08dd0a98","56-60歲","男","台中市","運動科技潮人"
"6deb95c1","36-40歲","女","台北市","獨立愛遊理財新手"
"257d0313","36-40歲","男","新北市","網購社媒手機迷"
"19460659","36-40歲","女","台北市","運動科技潮人"
"721bfcee","56-60歲","男","新北市","運動科技潮人"
"d26b3acf","36-40歲","未知","台北市","獨立愛遊理財新手"
"6ecafb77","46-50歲","女","新北市","運動科技潮人"
"863095b7","36-40歲","女","桃園市","網購社媒手機迷"
"765f8d7c","36-40歲","男","新北市","運動科技潮人"
"4c0a046f","51-55歲","女","台南市","樂動廣告品牌控"
"7bfd36e4","36-40歲","男","台中市","樂動廣告品牌控"
"fba57dbb","36-40歲","女","台中市","品味養生理財貴族"
"ff5da428","56-60歲","男","台中市","運動科技潮人"
"410f9a35","46-50歲","女","台中市","愛搜愛比網購客"
"d332dc67","36-40歲","女","台北市","物質享樂衝購族"
"db6c7929","31-35歲","女","新北市","健康愛家定存控"
"f16a698f","31-35歲","女","新北市","健康愛家定存控"
"dc3fe84a","41-45歲","女","雲林縣","樂動廣告品牌控"
"9b2e1ac4","36-40歲","女","台中市","樂動廣告品牌控"
"b3d9fded","51-55歲","女","新北市","健康愛家定存控"
"c5244c15","41-45歲","女","桃園市","運動科技潮人"
"1fb1c7ab","36-40歲","男","台北市","運動科技潮人"
"4be1acfe","56-60歲","女","新竹市","健康愛家定存控"
"ff6ddc54","56-60歲","女","新北市","獨立愛遊理財新手"
"c548c9bf","41-45歲","女","花蓮縣","傳統保健理財族"
"f9a47ef0","41-45歲","女","新北市","運動科技潮人"
"ee53c304","31-35歲","女","新北市","運動科技潮人"
"fef444b7","31-35歲","女","花蓮縣","物質享樂衝購族"
"b9198cdc","31-35歲","女","桃園市","物質享樂衝購族"
"04523dd3","46-50歲","女","台北市","運動科技潮人"
"421e1358","56-60歲","男","台中市","樂動廣告品牌控"
"aa47afe5","41-45歲","女","新竹市","品味養生理財貴族"
"75239d53","36-40歲","女","新北市","品味養生理財貴族"
"81d632c1","36-40歲","女","新北市","網購社媒手機迷"
"2818d7cc","36-40歲","女","彰化縣","運動科技潮人"
